CODGEO;POP1936;POP1954;POP1962;POP1968;POP1975;POP1982;POP1990;POP1999;POP2008
75101;37062;37330;36543;32332;22793;18509;18360;16888;17440
75102;41445;41744;40864;35357;26328;21203;20738;19585;21793
75103;63571;64030;62680;56252;41706;36094;35102;34248;34824
75104;62547;62998;61670;54029;40466;33990;32226;30675;27977
75105;97396;98099;96031;83721;67668;62173;61222;58849;62143
75106;81403;81991;80262;70891;56331;48905;47891;44919;44322
75107;101000;101729;99584;87811;74250;67461;62939;56985;57082
75108;75637;76183;74577;67897;52999;46403;40814;39314;38702
75109;95432;96121;94094;84969;70270;64134;58019;55838;59157
75110;126267;127179;124497;113372;94046;86970;90083;89612;94321
75111;196098;197514;193349;179727;159317;146931;154165;149102;152672
75112;163871;165054;161574;155982;140900;138015;130257;136591;142673
75113;169079;170300;166709;158280;163313;170818;171098;171533;179500
75114;180681;181986;178149;167093;149137;138596;136574;132844;136464
75115;254113;255948;250551;244080;231301;225596;223940;225362;234091
75116;230651;232317;227418;214120;193590;179446;169863;161773;165074
75117;230924;232591;227687;210299;186293;169513;161935;160860;167070
75118;258599;260466;254974;236776;208970;186866;187657;184586;196000
75119;161836;163005;159568;148862;144357;162649;165062;172730;184909
75120;202143;203603;199310;188921;175795;171971;184478;182952;195083
